Layer,Day,Order,Name,Address,Type,Priority,Approx_Km,Approx_Time,Notes,Source_File
EV Hubs,All,1,Bergen EV Hub,"Bergen, Norway",EV / Services,Recommended,,,Start full before leaving Bergen.,05_EV_Hubs.csv
EV Hubs,Day 1 or 7,2,Voss EV Hub,"Voss, Norway",EV / Services,Recommended,,,Useful stop both outbound and before airport return.,05_EV_Hubs.csv
EV Hubs,Day 1-2,3,Aurland EV Hub,"Aurland, Norway",EV / Services,Useful,,,Check charger availability near lodging.,05_EV_Hubs.csv
EV Hubs,Day 1-2,4,Flam EV Hub,"Flam, Norway",EV / Services,Useful,,,Popular tourist area; chargers may be busy in July.,05_EV_Hubs.csv
EV Hubs,Day 3 or 6,5,Sogndal EV Hub,"Sogndal, Norway",EV / Services,Recommended,,,"Good services, groceries and charging on transfer days.",05_EV_Hubs.csv
EV Hubs,Day 3 or 6,6,Skei EV Hub,"Skei, Norway",EV / Services,Useful,,,Useful before/after Nordfjord area.,05_EV_Hubs.csv
EV Hubs,Day 3-6,7,Stryn EV Hub,"Stryn, Norway",EV / Services,Recommended,,,Best practical charging/grocery base for Geiranger day.,05_EV_Hubs.csv
EV Hubs,Day 3-6,8,Loen EV Hub,"Loen, Norway",EV / Services,Useful,,,Check charger availability; avoid relying on one charger only.,05_EV_Hubs.csv
EV Hubs,Day 5,9,Geiranger EV Hub,"Geiranger, Norway",EV / Services,Backup only,,,Small tourist village; do not make this your only planned charge in July.,05_EV_Hubs.csv
Route Day 1,Day 1,1,Bergen,"Bergen, Norway",Route Stop,Must,0,Start,Pick up car and shop before leaving.,06_Route_Day1_Bergen_to_Aurland.csv
Route Day 1,Day 1,2,Voss,"Voss, Norway",Route Stop / EV,Recommended,100,1.5-2 hr from Bergen,"Coffee, groceries or EV charging.",06_Route_Day1_Bergen_to_Aurland.csv
Route Day 1,Day 1,3,Tvindefossen,"Tvindefossen, Norway",Optional Stop,Optional,112,20-30 min stop,Skip if running late.,06_Route_Day1_Bergen_to_Aurland.csv
Route Day 1,Day 1,4,Gudvangen,"Gudvangen, Norway",Route Stop,Optional,150,20-40 min stop,Fjord photo stop.,06_Route_Day1_Bergen_to_Aurland.csv
Route Day 1,Day 1,5,Aurland / Flam Base,"Aurland, Norway",Accommodation Area,Must,170-190,3.5-4.5 hr total driving,Night 1-2 base.,06_Route_Day1_Bergen_to_Aurland.csv
Route Day 2,Day 2,1,Aurland / Flam Base,"Aurland, Norway",Start/Finish,Must,0,Start,Local day; keep it relaxed.,07_Route_Day2_Aurland_Local.csv
Route Day 2,Day 2,2,Stegastein Viewpoint,"Stegastein Viewpoint, Aurland, Norway",Viewpoint,Must,15-35 return depending base,45-75 min incl. photos,Go early.,07_Route_Day2_Aurland_Local.csv
Route Day 2,Day 2,3,Undredal,"Undredal, Norway",Optional Village,Optional,30-50 return depending base,1-1.5 hr detour,Skip if doing Naeroyfjord cruise.,07_Route_Day2_Aurland_Local.csv
Route Day 2,Day 2,4,Flam,"Flam, Norway",Local Stop,Recommended,,Flexible,Use for cruise/food/services; can be busy.,07_Route_Day2_Aurland_Local.csv
Route Day 3,Day 3,1,Aurland / Flam Base,"Aurland, Norway",Departure,Must,0,Start,Start reasonably early.,08_Route_Day3_Aurland_to_Loen.csv
Route Day 3,Day 3,2,Laerdal,"Laerdal, Norway",Route Point,Recommended,35-50,Tunnel route is easier; Snow Road is scenic but slower,Choose tunnel if tired or weather is poor.,08_Route_Day3_Aurland_to_Loen.csv
Route Day 3,Day 3,3,Fodnes Ferry,"Fodnes ferjekai, Norway",Ferry,Recommended,75-95,Short crossing + wait,Route toward Sogndal.,08_Route_Day3_Aurland_to_Loen.csv
Route Day 3,Day 3,4,Sogndal,"Sogndal, Norway",EV / Grocery Stop,Recommended,105-130,Useful break,Good charge and grocery stop.,08_Route_Day3_Aurland_to_Loen.csv
Route Day 3,Day 3,5,Boyabreen Glacier Viewpoint,"Boyabreen Glacier, Fjaerland, Norway",Optional Viewpoint,Optional,160-190,15-30 min,Easy short stop only.,08_Route_Day3_Aurland_to_Loen.csv
Route Day 3,Day 3,6,Loen / Olden / Stryn Base,"Loen, Norway",Accommodation Area,Must,270-330,5.5-6.5 hr driving/ferry plus breaks,Night 3-5 base.,08_Route_Day3_Aurland_to_Loen.csv
Route Day 4,Day 4,1,Loen / Olden / Stryn Base,"Loen, Norway",Start/Finish,Must,0,Start,Choose one main activity only.,09_Route_Day4_Loen_Local.csv
Route Day 4,Day 4,2,Lovatnet,"Lovatnet, Norway",Lake / Scenic Drive,Must,40-80 local driving,1-3 hr flexible,Best low-stress scenic day option.,09_Route_Day4_Loen_Local.csv
Route Day 4,Day 4,3,Briksdal Glacier,"Briksdal Glacier, Norway",Short Hike,Recommended,50-100 local driving,1.5-2.5 hr walk/photos,Alternative or main activity; do not overpack the day.,09_Route_Day4_Loen_Local.csv
Route Day 4,Day 4,4,Loen Skylift,"Loen Skylift, Norway",Optional Viewpoint,Weather dependent,Short local drive,2-4 hr,Only in clear weather.,09_Route_Day4_Loen_Local.csv
Route Day 5 Optional Geiranger,Day 5,1,Loen / Olden / Stryn Base,"Loen, Norway",Departure,Must if doing Geiranger,0,Start early,Charge before leaving.,10_Route_Day5_Optional_Geiranger.csv
Route Day 5 Optional Geiranger,Day 5,2,Djupvatnet,"Djupvatnet, Norway",Optional Stop,Optional,80-110,10-20 min stop,Weather-dependent quick scenic stop.,10_Route_Day5_Optional_Geiranger.csv
Route Day 5 Optional Geiranger,Day 5,3,Dalsnibba,"Dalsnibba, Norway",Viewpoint / Toll Road,Weather dependent,Extra detour,+60-90 min,Skip in fog or low cloud.,10_Route_Day5_Optional_Geiranger.csv
Route Day 5 Optional Geiranger,Day 5,4,Flydalsjuvet,"Flydalsjuvet, Geiranger, Norway",Viewpoint,Must if doing Geiranger,120-150,20-30 min,Classic viewpoint.,10_Route_Day5_Optional_Geiranger.csv
Route Day 5 Optional Geiranger,Day 5,5,Geiranger,"Geiranger, Norway",Fjord Village,Must if doing Geiranger,125-160,30-60 min,Keep village time short in July.,10_Route_Day5_Optional_Geiranger.csv
Route Day 5 Optional Geiranger,Day 5,6,Geiranger Ferry Pier,"Geiranger ferjekai, Norway",Ferry Start,Must if doing Geiranger,,Arrive 30 min before ferry,Prebook in July.,10_Route_Day5_Optional_Geiranger.csv
Route Day 5 Optional Geiranger,Day 5,7,Hellesylt Ferry Pier,"Hellesylt ferjekai, Norway",Ferry Arrival,Must if doing Geiranger,,65 min ferry,Continue back toward Loen/Stryn.,10_Route_Day5_Optional_Geiranger.csv
Route Day 5 Optional Geiranger,Day 5,8,Loen / Olden / Stryn Base Return,"Loen, Norway",Return,Must if doing Geiranger,220-280 total day,5-6 hr driving + 65 min ferry + stops,Longest sightseeing day.,10_Route_Day5_Optional_Geiranger.csv
Route Day 6 Return,Day 6,1,Loen / Olden / Stryn Base,"Loen, Norway",Departure,Must,0,Start,Return day toward airport.,11_Route_Day6_Loen_to_Voss_or_BGO.csv
Route Day 6 Return,Day 6,2,Skei,"Skei, Norway",Route Stop,Recommended,90-120,Break if needed,Useful break/EV option.,11_Route_Day6_Loen_to_Voss_or_BGO.csv
Route Day 6 Return,Day 6,3,Sogndal,"Sogndal, Norway",EV / Grocery Stop,Recommended,160-200,Charge/lunch break,Good practical stop before continuing to Voss/Bergen.,11_Route_Day6_Loen_to_Voss_or_BGO.csv
Route Day 6 Return,Day 6,4,Voss Base,"Voss, Norway",Accommodation Option,Recommended,280-330,5.5-6.5 hr driving/ferry plus breaks,Good if you only need to be at BGO by noon next day.,11_Route_Day6_Loen_to_Voss_or_BGO.csv
Route Day 6 Return,Day 6,5,Bergen Airport Base,"Bergen Airport, Flesland, Bergen, Norway",Accommodation Option,Safest,385-450,"Longer Day 6, easiest Day 7",Choose if flight itself departs around noon.,11_Route_Day6_Loen_to_Voss_or_BGO.csv
Route Day 7 Airport,Day 7,1,Voss Base,"Voss, Norway",Departure,Recommended,0,Depart 07:30-08:00 if due at airport by noon,Morning buffer day.,12_Route_Day7_Voss_to_BGO.csv
Route Day 7 Airport,Day 7,2,Bergen Airport,"Bergen Airport, Flesland, Bergen, Norway",Finish / Airport,Must,105-120,"1.5-2 hr driving, plan 2.5-3 hr with car return",Return EV according to rental charge requirement.,12_Route_Day7_Voss_to_BGO.csv
