Layer,Day,Order,Name,Address,Type,Priority,Approx_Km,Approx_Time,Notes,Source_File
Must-See Points,Day 7 Return via Vikafjell,9,Vikafjellsvegen (Rv13) / Vikafjellet,"60.792458870095, 6.508532291522",Scenic Mountain Road,Recommended,,Scenic section on return toward Vaksdal,Use in good weather; switch to E39 backup if road/weather conditions are poor.,02_Must_See_Points.csv
Optional Points,Day 2,1,Tvindefossen,"Tvindefossen, Norway",Waterfall,Optional,,20-30 min,Easy stop on the Bergen to Laerdalsoyri transfer.,03_Optional_Points.csv
Optional Points,Day 2,2,Gudvangen,"Gudvangen, Norway",Fjord Stop,Optional,,30-60 min,Good Naeroyfjord stop if the transfer day is not running late.,03_Optional_Points.csv
Optional Points,Day 3,3,Undredal,"Undredal, Norway",Village,Optional,,1-1.5 hr incl. detour,Quiet fjord village option from Laerdalsoyri/Aurland area.,03_Optional_Points.csv
Optional Points,Day 4,4,Boyabreen Glacier Viewpoint,"Boyabreen Glacier, Fjaerland, Norway",Glacier Viewpoint,Recommended,,15-30 min,Easy short stop on the Laerdalsoyri to Stryn transfer.,03_Optional_Points.csv
Optional Points,Day 5,5,Loen Skylift,"Loen Skylift, Norway",Viewpoint,Weather dependent,,2-4 hr,Only worth it in clear weather.,03_Optional_Points.csv
Optional Points,Day 6 Optional Geiranger,6,Dalsnibba,"Dalsnibba, Norway",Viewpoint / Toll Road,Weather dependent,,+60-90 min,Skip in fog or low cloud.,03_Optional_Points.csv
Optional Points,Day 6 Optional Geiranger,7,Djupvatnet,"Djupvatnet, Norway",Scenic Stop,Optional,,10-20 min,Quick stop on road toward Geiranger.,03_Optional_Points.csv
Optional Points,Day 7 Return via Vikafjell,8,Vangsnes Ferry Arrival,"Vangsnes ferjekai, Norway",Ferry Arrival,Recommended,,Continue toward Vik,Arrival side for the Hella-Vangsnes crossing.,03_Optional_Points.csv
Optional Points,Day 7 Return via Vikafjell,9,Vik i Sogn,"Vik i Sogn, Norway",Village / Break,Optional,,20-45 min,Good short stop before Vikafjell; keep it brief if returning to Vaksdal same day.,03_Optional_Points.csv
Optional Points,Day 7 Return via Vikafjell,10,Hopperstad Stave Church,"Hopperstad Stave Church, Vik, Norway",Cultural Stop,Optional,,20-45 min,Optional only; skip if the return day is already running late.,03_Optional_Points.csv
Optional Points,Day 7 Backup E39,11,Lavik-Oppedal Ferry,"Lavik ferjekai, Norway",Backup Ferry,Backup,,Short crossing + waiting time,Use only for the safer E39 return toward Vaksdal/Bergen instead of Vikafjell.,03_Optional_Points.csv
Ferries,Day 4,1,Fodnes-Mannheller Ferry,"Fodnes ferjekai, Norway",Ferry,Recommended,,Short crossing + waiting time,Useful crossing on Laerdalsoyri to Sogndal/Stryn route.,04_Ferries.csv
Ferries,Day 6 Optional Geiranger,2,Geiranger-Hellesylt Ferry,"Geiranger ferjekai, Norway",Ferry / Fjord Experience,Must if doing Geiranger,,65 min sailing + 30 min check-in,Book in advance for July. Arrives at Hellesylt ferjekai.,04_Ferries.csv
Ferries,Day 6 Optional Geiranger,3,Hellesylt Ferry Arrival,"Hellesylt ferjekai, Norway",Ferry Arrival,Must if doing Geiranger,,After 65 min sailing,Continue back toward Stryn after ferry.,04_Ferries.csv
Ferries,Day 7 Return via Vikafjell,4,Hella-Vangsnes Ferry,"Hella ferjekai, Norway",Ferry,Recommended,,Short crossing + waiting time,Preferred return crossing if going Sogndal -> Vik -> Vikafjell -> Vaksdal.,04_Ferries.csv
Ferries,Day 7 Return via Vikafjell,5,Vangsnes Ferry Arrival,"Vangsnes ferjekai, Norway",Ferry Arrival,Recommended,,Continue toward Vik,Arrival side for the Vikafjell return route.,04_Ferries.csv
Ferries,Day 7 Backup E39,6,Lavik-Oppedal Ferry,"Lavik ferjekai, Norway",Backup Ferry,Backup,,Short crossing + waiting time,Use if choosing the safer E39 return toward Vaksdal/Bergen instead of Vikafjell.,04_Ferries.csv
Ferries,Day 7 Backup E39,7,Oppedal Ferry Arrival,"Oppedal ferjekai, Norway",Backup Ferry Arrival,Backup,,Continue toward Bergen/Vaksdal,Arrival side on E39 route.,04_Ferries.csv
EV Hubs,All,1,Bergen EV Hub,"Bergen, Norway",EV / Services,Recommended,,,Start full before leaving Bergen.,05_EV_Hubs.csv
EV Hubs,Day 1 or 7,2,Voss EV Hub,"Voss, Norway",EV / Services,Recommended,,,Useful stop both outbound and before airport return.,05_EV_Hubs.csv
EV Hubs,Day 1-2,3,Aurland EV Hub,"Aurland, Norway",EV / Services,Useful,,,Check charger availability near lodging.,05_EV_Hubs.csv
EV Hubs,Day 1-2,4,Flam EV Hub,"Flam, Norway",EV / Services,Useful,,,Popular tourist area; chargers may be busy in July.,05_EV_Hubs.csv
EV Hubs,Day 4 or 7,5,Sogndal EV Hub,"Sogndal, Norway",EV / Services,Recommended,,,"Good services, groceries and charging on transfer days.",05_EV_Hubs.csv
EV Hubs,Day 4 or 7,6,Skei EV Hub,"Skei, Norway",EV / Services,Useful,,,Useful before/after Nordfjord area.,05_EV_Hubs.csv
EV Hubs,Day 4-7,7,Stryn EV Hub,"Stryn, Norway",EV / Services,Recommended,,,Best practical charging/grocery base for Stryn and Geiranger days.,05_EV_Hubs.csv
EV Hubs,Day 5-6,8,Loen EV Hub,"Loen, Norway",EV / Services,Useful,,,Check charger availability; avoid relying on one charger only.,05_EV_Hubs.csv
EV Hubs,Day 5,9,Geiranger EV Hub,"Geiranger, Norway",EV / Services,Backup only,,,Small tourist village; do not make this your only planned charge in July.,05_EV_Hubs.csv
EV Hubs,Day 7 Return via Vikafjell,10,Vik EV Hub,"Vik i Sogn, Norway",EV / Services,Backup,,,Backup only; plan main Day 7 charging in Sogndal or Voss.,05_EV_Hubs.csv
EV Hubs,Day 8,11,Bergen Airport EV Hub,"Bergen Airport, Flesland, Bergen, Norway",EV / Services,Safest,,,Useful when returning rental with required charge level.,05_EV_Hubs.csv
Route Day 1 Bergen Arrival,Day 1,1,Bergen Airport,"Bergen Airport, Flesland, Bergen, Norway",Arrival / Car Pickup,Must,0,Arrival,Pick up rental car and sort first groceries if needed.,06_Route_Day1_Bergen_to_Aurland.csv
Route Day 1 Bergen Arrival,Day 1,2,Wergeland Cozy Apartment,"Lobergsveien 86, 5073 Bergen, Norway",Accommodation,Must,15-25,25-45 min depending traffic,Confirmed Night 1; check-in Jul 6 15:00-23:00.,06_Route_Day1_Bergen_to_Aurland.csv
Route Day 1 Bergen Arrival,Day 1,3,Bergen,"Bergen, Norway",City Stop,Optional,,Flexible,Optional evening walk/food if arrival energy allows.,06_Route_Day1_Bergen_to_Aurland.csv
Route Day 2 Bergen to Laerdalsoyri,Day 2,1,Wergeland Cozy Apartment,"Lobergsveien 86, 5073 Bergen, Norway",Departure,Must,0,Start,Leave Bergen after checkout.,07_Route_Day2_Aurland_Local.csv
Route Day 2 Bergen to Laerdalsoyri,Day 2,2,Voss,"Voss, Norway",Route Stop / EV,Recommended,100-115,1.5-2 hr from Bergen,"Coffee, groceries or EV charging.",07_Route_Day2_Aurland_Local.csv
Route Day 2 Bergen to Laerdalsoyri,Day 2,3,Tvindefossen,"Tvindefossen, Norway",Optional Stop,Optional,115-130,20-30 min stop,Skip if running late.,07_Route_Day2_Aurland_Local.csv
Route Day 2 Bergen to Laerdalsoyri,Day 2,4,Gudvangen,"Gudvangen, Norway",Fjord Stop,Optional,155-175,20-40 min stop,Fjord photo stop if timing is good.,07_Route_Day2_Aurland_Local.csv
Route Day 2 Bergen to Laerdalsoyri,Day 2,5,Aurland,"Aurland, Norway",Fjord Area,Recommended,190-220,Flexible,Use as the practical Aurlandsfjord/Flam area stop before lodging.,07_Route_Day2_Aurland_Local.csv
Route Day 2 Bergen to Laerdalsoyri,Day 2,6,"Otthon, Laerdalsoyri","Bergo 5, Laerdalsoyri, Vestland 6887, Norway",Accommodation,Must,220-250,4.5-6 hr driving plus stops,Confirmed Nights 2-3; key safe self check-in.,07_Route_Day2_Aurland_Local.csv
Route Day 3 Laerdalsoyri Local,Day 3,1,"Otthon, Laerdalsoyri","Bergo 5, Laerdalsoyri, Vestland 6887, Norway",Start/Finish,Must,0,Start,Local fjord day from confirmed base.,08_Route_Day3_Aurland_to_Loen.csv
Route Day 3 Laerdalsoyri Local,Day 3,2,Stegastein Viewpoint,"Stegastein Viewpoint, Aurland, Norway",Viewpoint,Must,45-65 return,45-75 min incl. photos,Go early or late for quieter photos.,08_Route_Day3_Aurland_to_Loen.csv
Route Day 3 Laerdalsoyri Local,Day 3,3,Aurland,"Aurland, Norway",Fjord Area,Must,60-80 return,Flexible,Main Aurlandsfjord area.,08_Route_Day3_Aurland_to_Loen.csv
Route Day 3 Laerdalsoyri Local,Day 3,4,Flam,"Flam, Norway",Local Stop,Recommended,85-105 return,Flexible,Use for cruise/food/services; can be busy.,08_Route_Day3_Aurland_to_Loen.csv
Route Day 3 Laerdalsoyri Local,Day 3,5,Undredal,"Undredal, Norway",Optional Village,Optional,95-120 return,1-1.5 hr detour,Skip if doing a cruise or if the day feels too full.,08_Route_Day3_Aurland_to_Loen.csv
Route Day 3 Laerdalsoyri Local,Day 3,6,"Otthon, Laerdalsoyri","Bergo 5, Laerdalsoyri, Vestland 6887, Norway",Return,Must,100-130 total day,Return,Second night at Laerdalsoyri.,08_Route_Day3_Aurland_to_Loen.csv
Route Day 4 Laerdalsoyri to Stryn,Day 4,1,"Otthon, Laerdalsoyri","Bergo 5, Laerdalsoyri, Vestland 6887, Norway",Departure,Must,0,Start,Leave after checkout and keep the transfer realistic.,09_Route_Day4_Loen_Local.csv
Route Day 4 Laerdalsoyri to Stryn,Day 4,2,Fodnes Ferry,"Fodnes ferjekai, Norway",Ferry,Recommended,45-70,Short crossing + wait,Useful crossing toward Sogndal.,09_Route_Day4_Loen_Local.csv
Route Day 4 Laerdalsoyri to Stryn,Day 4,3,Sogndal,"Sogndal, Norway",EV / Grocery Stop,Recommended,75-105,Charge/lunch break,Good practical stop before continuing north.,09_Route_Day4_Loen_Local.csv
Route Day 4 Laerdalsoyri to Stryn,Day 4,4,Boyabreen Glacier Viewpoint,"Boyabreen Glacier, Fjaerland, Norway",Glacier Viewpoint,Recommended,135-170,15-30 min,Easy short stop only.,09_Route_Day4_Loen_Local.csv
Route Day 4 Laerdalsoyri to Stryn,Day 4,5,Lodgen Stryn,"27 Perhusvegen, 6783 Stryn, Norway",Accommodation,Must,240-300,5-6.5 hr driving/ferry plus breaks,Confirmed Nights 4-6; check-in Jul 9 15:00-23:00.,09_Route_Day4_Loen_Local.csv
Route Day 5 Stryn Local,Day 5,1,Lodgen Stryn,"27 Perhusvegen, 6783 Stryn, Norway",Start/Finish,Must,0,Start,Choose one main activity only.,10_Route_Day5_Optional_Geiranger.csv
Route Day 5 Stryn Local,Day 5,2,Lovatnet,"Lovatnet, Norway",Lake / Scenic Drive,Must,40-80 local driving,1-3 hr flexible,Best low-stress scenic day option from Stryn.,10_Route_Day5_Optional_Geiranger.csv
Route Day 5 Stryn Local,Day 5,3,Briksdal Glacier,"Briksdal Glacier, Norway",Short Hike,Recommended,80-130 local driving,1.5-2.5 hr walk/photos,Alternative or main activity; do not overpack the day.,10_Route_Day5_Optional_Geiranger.csv
Route Day 5 Stryn Local,Day 5,4,Loen Skylift,"Loen Skylift, Norway",Optional Viewpoint,Weather dependent,Short local drive,2-4 hr,Only in clear weather.,10_Route_Day5_Optional_Geiranger.csv
Route Day 5 Stryn Local,Day 5,5,Lodgen Stryn,"27 Perhusvegen, 6783 Stryn, Norway",Return,Must,80-150 total day,Return,Second night at Lodgen Stryn.,10_Route_Day5_Optional_Geiranger.csv
Route Day 6 Optional Geiranger,Day 6,1,Lodgen Stryn,"27 Perhusvegen, 6783 Stryn, Norway",Departure,Must if doing Geiranger,0,Start early,Charge before leaving.,11_Route_Day6_Loen_to_Voss_or_BGO.csv
Route Day 6 Optional Geiranger,Day 6,2,Djupvatnet,"Djupvatnet, Norway",Optional Stop,Optional,80-110,10-20 min stop,Weather-dependent quick scenic stop.,11_Route_Day6_Loen_to_Voss_or_BGO.csv
Route Day 6 Optional Geiranger,Day 6,3,Dalsnibba,"Dalsnibba, Norway",Viewpoint / Toll Road,Weather dependent,Extra detour,+60-90 min,Skip in fog or low cloud.,11_Route_Day6_Loen_to_Voss_or_BGO.csv
Route Day 6 Optional Geiranger,Day 6,4,Flydalsjuvet,"Flydalsjuvet, Geiranger, Norway",Viewpoint,Must if doing Geiranger,120-150,20-30 min,Classic viewpoint.,11_Route_Day6_Loen_to_Voss_or_BGO.csv
Route Day 6 Optional Geiranger,Day 6,5,Geiranger,"Geiranger, Norway",Fjord Village,Must if doing Geiranger,125-160,30-60 min,Keep village time short in July.,11_Route_Day6_Loen_to_Voss_or_BGO.csv
Route Day 6 Optional Geiranger,Day 6,6,Geiranger Ferry Pier,"Geiranger ferjekai, Norway",Ferry Start,Must if doing Geiranger,,Arrive 30 min before ferry,Prebook in July.,11_Route_Day6_Loen_to_Voss_or_BGO.csv
Route Day 6 Optional Geiranger,Day 6,7,Hellesylt Ferry Pier,"Hellesylt ferjekai, Norway",Ferry Arrival,Must if doing Geiranger,,65 min ferry,Continue back toward Stryn.,11_Route_Day6_Loen_to_Voss_or_BGO.csv
Route Day 6 Optional Geiranger,Day 6,8,Lodgen Stryn,"27 Perhusvegen, 6783 Stryn, Norway",Return,Must if doing Geiranger,220-280 total day,5-6 hr driving + 65 min ferry + stops,Longest sightseeing day; skip if weather/energy is poor.,11_Route_Day6_Loen_to_Voss_or_BGO.csv
Route Day 7 Stryn to Vaksdal via Vikafjell,Day 7,1,Lodgen Stryn,"27 Perhusvegen, 6783 Stryn, Norway",Departure,Must,0,Start,Main return day toward confirmed final night in Vaksdal.,12_Route_Day7_Voss_to_BGO.csv
Route Day 7 Stryn to Vaksdal via Vikafjell,Day 7,2,Skei,"Skei, Norway",Route Stop / EV,Recommended,90-120,Break if needed,Useful break/EV option.,12_Route_Day7_Voss_to_BGO.csv
Route Day 7 Stryn to Vaksdal via Vikafjell,Day 7,3,Sogndal,"Sogndal, Norway",EV / Grocery Stop,Recommended,160-200,Charge/lunch break,Recommended main charge before Sognefjord/Vikafjell return.,12_Route_Day7_Voss_to_BGO.csv
Route Day 7 Stryn to Vaksdal via Vikafjell,Day 7,4,Hella Ferry Pier,"Hella ferjekai, Norway",Ferry Start,Recommended,175-220,Short crossing + wait,Take ferry to Vangsnes for a different return route.,12_Route_Day7_Voss_to_BGO.csv
Route Day 7 Stryn to Vaksdal via Vikafjell,Day 7,5,Vangsnes Ferry Pier,"Vangsnes ferjekai, Norway",Ferry Arrival,Recommended,,Continue toward Vik,Arrival side of the Hella-Vangsnes ferry.,12_Route_Day7_Voss_to_BGO.csv
Route Day 7 Stryn to Vaksdal via Vikafjell,Day 7,6,Vik i Sogn,"Vik i Sogn, Norway",Village / Short Stop,Optional,210-255,20-45 min if stopping,Optional short stop; skip if running late.,12_Route_Day7_Voss_to_BGO.csv
Route Day 7 Stryn to Vaksdal via Vikafjell,Day 7,7,Vikafjellsvegen (Rv13) / Vikafjellet,"60.792458870095, 6.508532291522",Scenic Mountain Road,Recommended,230-280,Scenic Rv13 section; weather dependent,Use in good weather; skip for E39 backup if weather/road conditions are poor.,12_Route_Day7_Voss_to_BGO.csv
Route Day 7 Stryn to Vaksdal via Vikafjell,Day 7,8,Voss,"Voss, Norway",Route Stop / EV,Recommended,300-340,Break/charge if needed,Last practical stop before Vaksdal.,12_Route_Day7_Voss_to_BGO.csv
Route Day 7 Stryn to Vaksdal via Vikafjell,Day 7,9,"Otthon, Vaksdal kommune","Tveitane 43, Vaksdal kommune, Vestland 5725, Norway",Accommodation,Must,350-400,7-8.5 hr with ferry/charging/stops,Confirmed Night 7; final night before airport.,12_Route_Day7_Voss_to_BGO.csv
Route Day 7 Backup E39 to Vaksdal,Day 7 Backup,1,Lodgen Stryn,"27 Perhusvegen, 6783 Stryn, Norway",Departure,Backup,0,Start,"Use this safer, less scenic return if Vikafjell weather is poor.",13_Route_Day6_Backup_E39_to_BGO.csv
Route Day 7 Backup E39 to Vaksdal,Day 7 Backup,2,Skei,"Skei, Norway",Route Stop / EV,Backup,90-120,Break if needed,Useful break/EV option.,13_Route_Day6_Backup_E39_to_BGO.csv
Route Day 7 Backup E39 to Vaksdal,Day 7 Backup,3,Forde,"Forde, Norway",EV / Services,Backup,170-210,Charge/lunch break,Practical services stop on E39 route.,13_Route_Day6_Backup_E39_to_BGO.csv
Route Day 7 Backup E39 to Vaksdal,Day 7 Backup,4,Lavik Ferry Pier,"Lavik ferjekai, Norway",Ferry Start,Backup,230-280,Short crossing + wait,E39 ferry toward Oppedal/Bergen.,13_Route_Day6_Backup_E39_to_BGO.csv
Route Day 7 Backup E39 to Vaksdal,Day 7 Backup,5,Oppedal Ferry Pier,"Oppedal ferjekai, Norway",Ferry Arrival,Backup,,Continue toward Bergen/Vaksdal,Arrival side on E39 route.,13_Route_Day6_Backup_E39_to_BGO.csv
Route Day 7 Backup E39 to Vaksdal,Day 7 Backup,6,"Otthon, Vaksdal kommune","Tveitane 43, Vaksdal kommune, Vestland 5725, Norway",Accommodation,Must,360-430,7-9 hr with ferry/charging/stops,Confirmed final night if avoiding Vikafjell.,13_Route_Day6_Backup_E39_to_BGO.csv
Route Day 8 Vaksdal to Bergen Airport,Day 8,1,"Otthon, Vaksdal kommune","Tveitane 43, Vaksdal kommune, Vestland 5725, Norway",Departure,Must,0,Depart with airport buffer,Confirmed final night; check-out Jul 13 11:00.,14_Route_Day8_Vaksdal_to_BGO.csv
Route Day 8 Vaksdal to Bergen Airport,Day 8,2,Bergen Airport,"Bergen Airport, Flesland, Bergen, Norway",Finish / Airport,Must,55-75,"1-1.5 hr driving, plan 2.5-3 hr with car return",Return EV according to rental charge requirement.,14_Route_Day8_Vaksdal_to_BGO.csv
